model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.0.4,3,149452,0,0.00,1179,0,0.633,0,0,0,0,826
v3.2.3,3,776997,0,6.69,681604,0,1.898,1,0,0,347605,64533
v3.2.4,3,5257,0,11.04,856292,0,20.127,1,0,0,726602,82492
v3.2.4,1,576303,0,0.08,195781,0,1.024,1,0,0,39607,41229
v3.2.4,1,685763,0,0.00,1126,0,0.544,0,0,0,0,722
v3.2.3,1,980636,0,0.00,1025,0,0.554,0,0,0,0,620
v3.2.4,1,447276,0,0.06,199739,0,0.779,1,0,0,16955,42059
v3.2.4,1,404639,0,0.05,193873,0,0.962,1,0,0,13130,41170
v3.2.4,3,248742,0,3.17,856778,0,19.339,1,0,0,268811,82582
v3.2.3,3,915309,0,105.37,672145,0,2.329,1,0,0,6408040,63487
v3.2.3,1,673832,0,0.00,722,0,0.473,0,0,0,0,310
v3.0.4,3,193601,0,0.07,225610,0,1.01,1,0,0,23825,40520
v3.2.3,3,666851,0,7.47,671160,0,2.091,1,0,0,422052,63676
v3.2.4,3,8739,0,5.99,854198,0,23.092,0,0,0,216264,82425
v3.2.3,1,821235,0,0.07,194673,0,0.688,1,0,0,51423,41700
v3.2.3,3,257566,0,6.60,676744,0,2.324,1,0,0,364272,63617
v3.0.4,1,380831,0,0.00,977,0,0.676,0,0,0,0,620
v3.2.4,1,494981,0,0.00,1025,0,0.632,0,0,0,0,620
v3.2.4,1,214341,0,0.00,722,0,0.576,0,0,0,0,310
v3.2.3,3,467285,0,20.16,665124,0,2.564,1,0,0,1291196,63266
v3.2.3,3,222636,0,22.03,676273,0,1.903,1,0,0,1722865,63754
v3.2.3,1,103576,0,0.06,192288,0,0.732,1,0,0,47510,41499
v3.2.4,3,996694,0,13.85,852400,0,21.424,1,0,0,880098,82322
v3.0.4,3,816765,0,0.00,673,0,0.583,0,0,0,0,309
v3.2.3,1,294226,0,0.06,203192,0,0.701,1,0,0,45534,42673
v3.2.4,1,734414,0,0.07,194963,0,0.751,1,0,0,58542,41575
v3.2.3,1,439671,0,0.00,1025,0,0.494,0,0,0,0,620
v3.0.4,1,662681,0,0.00,876,0,0.665,0,0,0,0,518
v3.0.4,3,929110,0,0.08,221609,0,1.034,1,0,0,35936,39603
v3.0.4,3,610267,0,0.00,775,0,0.465,0,0,0,0,414
v3.2.4,3,798783,0,13.00,851206,0,19.057,1,0,0,938357,81942
v3.2.4,3,925050,0,1.18,841360,0,25.827,0,0,0,78734,81344
v3.0.4,1,638530,0,0.00,977,0,0.656,0,0,0,0,620
v3.0.4,1,81022,0,0.00,876,0,0.587,0,0,0,0,516
v3.2.4,3,208650,0,0.00,924,0,1.597,0,0,0,0,516
v3.2.4,3,431525,0,0.00,924,0,1.622,0,0,0,0,516
v3.2.3,3,819330,0,15.87,682117,0,2.345,1,0,0,1067231,64178
v3.2.3,3,302864,0,1.81,677433,0,1.982,1,0,0,117778,63895
v3.2.4,1,569605,0,0.00,722,0,0.682,0,0,0,0,312
v3.2.3,1,837660,0,0.00,722,0,0.706,0,0,0,0,312
v3.0.4,1,702154,0,0.05,195334,0,0.878,1,0,0,7227,40190
v3.0.4,1,556057,0,0.66,191175,0,0.858,0,0,0,67099,39568
v3.2.4,3,568842,0,0.00,924,0,2.435,0,0,0,0,516
v3.0.4,1,66980,0,0.00,1078,0,0.475,0,0,0,0,722
v3.2.4,3,363441,0,1.60,861402,0,21.827,1,0,0,188881,83207
v3.2.4,3,898522,0,1.49,847137,0,19.214,1,0,0,159157,81462
v3.2.3,3,658545,0,31.45,666063,0,2.156,1,0,0,2053333,62957
v3.0.4,3,325544,0,0.08,228303,0,0.713,1,0,0,33980,41040
v3.0.4,1,585228,0,0.06,192646,0,0.708,0,0,0,4097,39755
v3.0.4,3,302472,0,0.07,224995,0,0.806,1,0,0,30885,40119
v3.2.4,3,942710,0,9.83,842612,0,21.644,0,0,0,540491,80771
v3.0.4,3,953606,0,0.06,224913,0,0.847,1,0,0,22506,40003
v3.2.3,3,643016,0,13.08,673256,0,2.591,1,0,0,846667,63480
v3.2.3,3,449496,0,43.36,670479,0,2.062,0,0,0,2708286,63154
v3.0.4,1,437350,0,0.00,876,0,0.612,0,0,0,0,516
v3.2.4,3,320354,0,0.72,836871,0,20.351,0,0,0,54397,81198
v3.2.3,1,565715,0,0.08,202678,0,0.929,1,0,0,44136,42688
v3.2.4,3,20226,0,0.40,856098,0,22.751,0,0,0,52250,82329
v3.0.4,3,659016,0,0.00,573,0,0.51,0,0,0,0,208
v3.2.4,1,814215,0,0.00,1025,0,0.617,0,0,0,0,620
v3.2.3,3,288526,0,6.14,680142,0,1.826,1,0,0,389497,64100
v3.0.4,3,713425,0,0.05,237168,0,0.716,1,0,0,15966,41914
v3.2.3,1,208952,0,0.00,722,0,0.589,0,0,0,0,310
v3.2.3,1,326944,0,0.05,196509,0,0.819,1,0,0,12460,41211
v3.0.4,3,621664,0,0.05,232379,0,0.731,1,0,0,8178,42020
v3.2.4,3,621356,0,0.00,1327,0,1.663,0,0,0,0,927
v3.2.3,1,250896,0,0.06,193421,0,0.791,1,0,0,37087,40824
v3.2.4,3,75131,0,0.00,722,0,1.631,0,0,0,0,312
v3.0.4,3,274385,0,0.06,224916,0,0.845,1,0,0,19227,40508
v3.0.4,3,512267,0,0.06,228920,0,0.743,1,0,0,27543,40496
v3.2.4,3,62981,0,9.43,859206,0,20.222,1,0,0,691652,82985
v3.2.3,3,620191,0,0.00,923,0,0.778,0,0,0,0,515
v3.2.4,3,561519,0,2.93,846595,0,20.012,1,0,0,290244,82288
v3.2.4,1,985746,0,0.00,924,0,0.627,0,0,0,0,516
v3.0.4,1,653790,0,0.11,191085,0,0.907,1,0,0,45668,39420
v3.0.4,1,659016,0,0.00,573,0,0.504,0,0,0,0,208
v3.2.4,3,439428,0,0.00,823,0,1.495,0,0,0,0,414
v3.0.4,1,74421,0,0.00,775,0,0.584,0,0,0,0,414
v3.2.4,3,21041,0,34.26,859496,0,19.109,1,0,0,2233080,82674
v3.0.4,3,322432,0,0.07,228359,0,0.759,1,0,0,26356,41070
v3.2.3,1,632132,0,0.06,197588,0,0.759,1,0,0,18944,41590
v3.2.4,1,424129,0,0.08,196742,0,0.907,1,0,0,45712,41371
v3.2.3,3,693789,0,455.09,669236,0,2.286,0,0,0,24631770,62615
v3.2.3,1,908816,0,0.07,195519,0,0.877,1,0,0,57321,41665
v3.0.4,3,218019,0,0.07,227084,0,0.725,1,0,0,47775,40217
v3.0.4,1,18123,0,0.05,192835,0,1.172,1,0,0,24884,40078
v3.0.4,3,222636,0,0.06,231544,0,0.712,1,0,0,26669,41143
v3.2.4,3,858252,0,0.00,722,0,1.774,0,0,0,0,310
v3.0.4,3,460851,0,0.07,227037,0,0.745,1,0,0,22172,40435
v3.0.4,1,243499,0,0.08,193521,0,0.892,1,0,0,36873,40369
v3.2.4,1,397516,0,0.00,1025,0,0.518,0,0,0,0,620
v3.2.3,1,191571,0,0.00,621,0,0.47,0,0,0,0,208
v3.0.4,1,731222,0,0.07,178385,0,0.804,1,0,0,27223,37604
v3.0.4,3,468708,0,0.09,231690,0,0.808,1,0,0,51884,41376
v3.0.4,1,390631,0,0.00,674,0,0.594,0,0,0,0,310
v3.0.4,1,147164,0,0.00,977,0,0.647,0,0,0,0,620
v3.2.3,3,797454,0,32.68,674621,0,2.102,1,0,0,2348541,63762
v3.0.4,3,652938,0,0.07,225838,0,0.988,1,0,0,24278,40483
v3.0.4,1,194528,0,0.00,876,0,0.638,0,0,0,0,516
v3.0.4,3,620445,0,0.00,1077,0,0.63,0,0,0,0,721
v3.2.4,3,906350,0,8.84,836824,0,24.017,1,0,0,392449,81241
v3.2.4,1,459094,0,0.00,823,0,0.495,0,0,0,0,414
v3.2.3,1,969801,0,0.05,197238,0,0.739,1,0,0,23515,41374
v3.0.4,1,355232,0,0.08,188014,0,0.884,1,0,0,69546,39808
v3.2.4,3,220198,0,0.00,924,0,1.444,0,0,0,0,516
v3.2.3,1,479773,0,0.06,197254,0,0.842,1,0,0,17737,41351
v3.2.3,3,906350,0,26.96,668875,0,2.17,1,0,0,2358651,63523
v3.2.4,1,66980,0,0.00,1126,0,0.494,0,0,0,0,722
v3.2.3,3,247119,0,32.08,676275,0,2.193,1,0,0,2301384,63337
v3.2.3,1,656182,0,0.00,1025,0,0.53,0,0,0,0,620
v3.0.4,3,643914,0,0.06,232032,0,0.853,1,0,0,14536,41401
v3.2.3,3,626175,0,22.64,664488,0,2.065,1,0,0,1773930,63074
v3.0.4,1,750921,0,0.00,775,0,0.445,0,0,0,0,414
v3.2.3,1,936865,0,0.00,924,0,0.448,0,0,0,0,516
v3.0.4,3,126949,0,0.07,233895,0,0.851,1,0,0,33025,41513
v3.2.4,1,695044,0,0.00,924,0,0.541,0,0,0,0,516
v3.0.4,3,615850,0,0.08,225707,0,0.76,1,0,0,44390,40394
v3.0.4,3,369450,0,0.00,472,0,0.563,0,0,0,0,104
v3.2.4,3,255135,0,0.00,1025,0,1.844,0,0,0,0,620
v3.2.3,1,257467,0,0.00,1025,0,0.483,0,0,0,0,620
v3.2.4,3,19905,0,1.97,831091,0,20.363,1,0,0,173261,81042
v3.2.4,3,113873,0,16.66,845222,0,21.381,1,0,0,1187225,82222
v3.2.3,1,317837,0,0.00,924,0,0.57,0,0,0,0,518
v3.2.3,3,338840,0,18.33,659984,0,2.483,1,0,0,1568000,62319
v3.2.4,1,188404,0,0.05,193195,0,0.723,1,0,0,34758,41289
v3.2.4,1,531740,0,0.06,202481,0,0.779,1,0,0,28249,42537
v3.2.3,3,85001,0,15.21,678103,0,2.176,1,0,0,934717,64319
v3.2.4,1,167122,0,0.05,201657,0,0.707,1,0,0,23457,42315
v3.2.3,1,163862,0,0.05,196522,0,0.714,1,0,0,13660,41900
v3.2.4,3,362745,0,15.75,851951,0,22.635,1,0,0,1137980,82319
v3.0.4,1,987673,0,0.05,192180,0,0.776,1,0,0,14289,39723
v3.2.4,1,970008,0,0.00,924,0,0.472,0,0,0,0,516
v3.0.4,1,415836,0,0.00,876,0,0.647,0,0,0,0,516
