model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.0.4,1,664940,0,0.00,876,0,0.6,0,0,0,0,516
v3.0.4,1,743861,0,0.00,876,0,0.599,0,0,0,0,516
v3.2.4,1,578255,0,0.00,823,0,0.579,0,0,0,0,414
v3.2.4,1,972993,0,0.08,193614,0,0.938,1,0,0,77976,40927
v3.0.4,3,438724,0,0.08,227085,0,0.849,1,0,0,39278,41542
v3.2.4,1,581773,0,0.00,924,0,0.534,0,0,0,0,516
v3.2.4,1,27335,0,0.00,924,0,0.839,0,0,0,0,516
v3.0.4,1,969888,0,0.07,186168,0,0.866,1,0,0,27096,39423
v3.2.3,1,857084,0,0.05,194284,0,0.726,1,0,0,24302,40816
v3.2.3,1,921993,0,0.00,1025,0,0.578,0,0,0,0,620
v3.2.3,1,559221,0,0.05,196800,0,0.726,1,0,0,21723,41341
v3.0.4,1,608529,0,0.07,190609,0,0.844,1,0,0,33199,39908
v3.2.4,1,284279,0,0.07,192098,0,0.836,1,0,0,37349,41396
v3.2.3,1,255135,0,0.00,1025,0,0.62,0,0,0,0,620
v3.0.4,3,244380,0,0.00,977,0,0.567,0,0,0,0,620
v3.0.4,1,27242,0,0.00,876,0,0.548,0,0,0,0,516
v3.2.4,3,998406,0,0.00,923,0,1.453,0,0,0,0,515
v3.0.4,1,179811,0,0.07,192650,0,0.857,1,0,0,43659,40323
v3.2.3,1,231331,0,0.05,195475,0,0.708,1,0,0,13388,41555
v3.0.4,1,673574,0,0.06,193671,0,0.784,1,0,0,28652,40021
v3.2.4,3,823557,0,23.82,842421,0,23.922,1,0,0,1077729,81104
v3.2.4,1,281632,0,0.00,722,0,0.579,0,0,0,0,310
v3.2.4,1,413371,0,0.00,1025,0,0.817,0,0,0,0,620
v3.2.4,1,753081,0,0.06,202996,0,0.928,1,0,0,20153,42690
v3.0.4,1,964239,0,0.06,195871,0,0.764,1,0,0,19912,40470
v3.2.4,3,825901,0,10.20,849300,0,19.314,1,0,0,654751,82451
v3.2.4,1,263885,0,0.00,1025,0,0.602,0,0,0,0,620
v3.2.3,1,830199,0,0.00,1126,0,0.467,0,0,0,0,722
v3.0.4,1,489634,0,0.06,191038,0,1.034,0,0,0,5985,39563
v3.0.4,3,207230,0,0.00,1178,0,0.602,0,0,0,0,825
v3.2.3,1,31445,0,0.00,1126,0,0.504,0,0,0,0,722
v3.2.3,1,789428,0,0.05,201359,0,0.789,1,0,0,25081,42434
v3.2.4,1,312337,0,0.08,197666,0,0.961,1,0,0,45822,41950
v3.2.3,1,496514,0,0.05,192970,0,0.81,1,0,0,19912,40558
v3.2.4,1,526540,0,0.05,199230,0,0.819,1,0,0,13358,42035
v3.0.4,1,574613,0,0.06,189624,0,0.787,1,0,0,35504,39255
v3.2.3,1,102188,0,0.06,192311,0,0.992,1,0,0,25470,40583
v3.2.4,3,851156,0,0.00,721,0,1.91,0,0,0,0,309
v3.2.3,1,731315,0,0.00,722,0,0.583,0,0,0,0,310
v3.2.3,1,6393,0,0.00,823,0,0.63,0,0,0,0,414
v3.2.3,3,947984,0,0.00,1126,0,1.033,0,0,0,0,722
v3.2.3,1,676417,0,0.06,197021,0,0.803,1,0,0,31993,41992
v3.2.4,1,611968,0,0.00,924,0,0.585,0,0,0,0,516
v3.2.4,1,695302,0,0.00,722,0,0.532,0,0,0,0,310
v3.0.4,1,934501,0,0.06,191840,0,0.781,1,0,0,40141,40051
v3.2.3,1,190140,0,0.06,183806,0,0.845,1,0,0,44408,39936
v3.0.4,1,211963,0,0.00,876,0,0.534,0,0,0,0,516
v3.2.3,1,69558,0,0.06,195517,0,0.963,1,0,0,19140,41152
v3.0.4,3,235342,0,0.06,226357,0,0.863,1,0,0,33898,40810
v3.2.3,3,829264,0,7.40,678004,0,2.152,1,0,0,373195,63978
v3.0.4,1,772895,0,0.05,193877,0,0.769,0,0,0,4477,40090
v3.2.4,1,725052,0,0.06,200784,0,1.164,1,0,0,11518,42247
v3.0.4,1,87688,0,0.05,196756,0,0.777,1,0,0,26554,40685
v3.2.3,1,171777,0,0.00,1227,0,0.492,0,0,0,0,826
v3.2.4,1,262959,0,0.00,1025,0,0.591,0,0,0,0,620
v3.2.3,3,571566,0,0.00,722,0,0.893,0,0,0,0,310
v3.2.4,1,490269,0,0.07,200006,0,0.82,0,0,0,8152,42220
v3.2.4,1,325570,0,0.00,1126,0,0.618,0,0,0,0,722
v3.2.3,1,805543,0,0.05,196369,0,0.84,1,0,0,11571,41852
v3.2.3,3,315926,0,2.59,681659,0,1.928,1,0,0,199828,64521
v3.0.4,1,494729,0,0.07,198379,0,1.156,1,0,0,52368,41071
v3.0.4,1,981568,0,0.06,189021,0,0.888,1,0,0,32383,39769
v3.2.3,1,71117,0,0.00,823,0,0.589,0,0,0,0,414
v3.2.3,3,832369,0,24.41,681769,0,1.989,1,0,0,1964017,64090
v3.2.4,1,238965,0,0.00,1126,0,0.512,0,0,0,0,724
v3.2.4,3,990690,0,0.00,1126,0,1.685,0,0,0,0,722
v3.2.3,1,132782,0,0.05,198618,0,0.868,1,0,0,15701,42307
v3.2.3,1,536105,0,0.00,722,0,0.467,0,0,0,0,310
v3.2.3,1,257022,0,0.05,197878,0,0.73,1,0,0,22753,41663
v3.2.3,1,148461,0,0.00,1328,0,0.449,0,0,0,0,928
v3.0.4,1,143670,0,0.00,876,0,0.67,0,0,0,0,516
v3.0.4,1,982050,0,0.06,187595,0,0.769,1,0,0,19957,39360
v3.2.3,1,244251,0,0.00,1328,0,0.43,0,0,0,0,928
v3.2.3,1,598278,0,0.05,197622,0,0.829,1,0,0,17008,41552
v3.2.3,1,244981,0,0.06,193477,0,0.755,1,0,0,57470,41060
v3.2.4,3,258061,0,0.00,924,0,1.665,0,0,0,0,518
v3.2.3,1,281838,0,0.00,1126,0,0.575,0,0,0,0,722
v3.2.3,1,542691,0,0.00,823,0,0.669,0,0,0,0,414
v3.0.4,1,88740,0,0.00,977,0,0.536,0,0,0,0,620
v3.2.4,1,748936,0,0.06,196594,0,0.976,1,0,0,20847,41348
